usage_id,customer_id,product_id,feature_id,usage_timestamp
use_001,cust_101,P1,track_loaded,2025-01-16 09:30:00
use_002,cust_101,P1,track_loaded,2025-01-17 10:00:00
use_003,cust_102,P2,project_saved,2025-01-21 15:00:00
use_004,cust_103,P3,preset_loaded,2025-02-20 11:00:00
use_005,cust_101,P1,track_loaded,2025-02-25 12:00:00
use_006,cust_101,P2,track_exported,2025-03-05 16:00:00
use_007,cust_102,P2,project_saved,2025-03-10 17:00:00
use_008,cust_101,P2,project_saved,2025-03-15 18:00:00
use_009,cust_101,P1,track_loaded,2025-04-01 19:00:00
use_010,cust_102,P2,track_exported,2025-04-10 20:00:00
use_011,cust_102,P3,preset_loaded,2025-05-02 09:00:00
use_012,cust_105,P2,project_saved,2025-05-03 10:00:00
use_013,cust_101,P3,preset_loaded,2025-05-23 11:00:00
use_014,cust_101,P1,track_loaded,2025-05-25 12:00:00
use_015,cust_102,P2,project_saved,2025-05-28 13:00:00
use_016,cust_103,P3,preset_loaded,2025-03-01 14:00:00
use_017,cust_103,P3,project_saved,2025-03-02 15:00:00
use_018,cust_104,P1,track_loaded,2025-03-15 16:00:00
use_019,cust_104,P1,track_loaded,2025-03-16 17:00:00
use_020,cust_105,P2,track_exported,2025-05-10 18:00:00
use_021,cust_105,P2,project_saved,2025-05-11 19:00:00
use_022,cust_101,P1,track_loaded,2025-03-20 20:00:00
use_023,cust_102,P2,project_saved,2025-02-15 21:00:00
use_024,cust_101,P2,project_saved,2025-04-05 22:00:00
use_025,cust_102,P3,preset_loaded,2025-05-10 23:00:00
use_026,cust_101,P3,preset_loaded,2025-05-28 08:00:00
use_027,cust_101,P1,track_loaded,2025-01-28 09:00:00
use_028,cust_102,P2,track_exported,2025-02-28 10:00:00
use_029,cust_103,P3,project_saved,2025-03-28 11:00:00
use_030,cust_101,P2,project_saved,2025-04-28 12:00:00
use_031,cust_104,P1,track_loaded,2025-05-28 13:00:00
use_032,cust_102,P3,preset_loaded,2025-05-29 14:00:00
use_033,cust_105,P2,track_exported,2025-05-30 15:00:00
use_034,cust_101,P3,preset_loaded,2025-05-31 16:00:00
use_035,cust_102,P2,project_saved,2025-01-25 17:00:00
